h_tract,jobs_2011,jobs_2023,change,pct_change
48441010600,0.0,5.0,5.0,
48027021701,0.0,5.0,5.0,
48027023406,0.0,5.0,5.0,
48027023302,0.0,5.0,5.0,
48099010101,0.0,5.0,5.0,
48329010118,11.0,16.0,5.0,45.45454545454545
48329010107,8.0,13.0,5.0,62.5
48485012700,0.0,5.0,5.0,
48029121505,0.0,5.0,5.0,
48029120302,0.0,5.0,5.0,
48485012001,0.0,5.0,5.0,
48485010800,0.0,5.0,5.0,
48485010700,0.0,5.0,5.0,
48029151900,0.0,5.0,5.0,
48029151100,0.0,5.0,5.0,
48029161802,9.0,14.0,5.0,55.55555555555556
48479000101,0.0,5.0,5.0,
48029171502,0.0,5.0,5.0,
48029171401,0.0,5.0,5.0,
48453041000,1.0,6.0,5.0,500.0
48029191004,0.0,5.0,5.0,
48029190604,0.0,5.0,5.0,
48323950302,0.0,5.0,5.0,
48029120100,0.0,5.0,5.0,
48187210713,0.0,5.0,5.0,
48479001822,0.0,5.0,5.0,
48113005200,0.0,5.0,5.0,
48303010601,0.0,5.0,5.0,
48029131606,0.0,5.0,5.0,
48029121124,0.0,5.0,5.0,
48303002103,0.0,5.0,5.0,
48281950500,0.0,5.0,5.0,
48271950100,0.0,5.0,5.0,
48453036700,1.0,6.0,5.0,500.0
48029191503,0.0,5.0,5.0,
48303000100,0.0,5.0,5.0,
48201542202,0.0,5.0,5.0,
48237950500,0.0,5.0,5.0,
48453001914,0.0,5.0,5.0,
48453001911,0.0,5.0,5.0,
48303010419,5.0,10.0,5.0,100.0
48479001723,0.0,5.0,5.0,
48193950100,0.0,5.0,5.0,
48029141402,2.0,7.0,5.0,250.0
48479001501,0.0,5.0,5.0,
48133950500,0.0,5.0,5.0,
48029191006,0.0,5.0,5.0,
48453034600,0.0,5.0,5.0,
48265960102,1.0,6.0,5.0,500.0
48259970403,0.0,5.0,5.0,
48189950900,0.0,5.0,5.0,
48029160100,0.0,5.0,5.0,
48201241104,0.0,5.0,5.0,
48135002900,10.0,15.0,5.0,50.0
48135002801,10.0,15.0,5.0,50.0
48113009103,0.0,5.0,5.0,
48201232305,0.0,5.0,5.0,
48139061600,0.0,5.0,5.0,
48479000903,0.0,5.0,5.0,
48479000800,0.0,5.0,5.0,
48479000200,0.0,5.0,5.0,
48479000108,0.0,5.0,5.0,
48453002437,0.0,5.0,5.0,
48497150605,3.0,8.0,5.0,166.66666666666669
48143950203,0.0,5.0,5.0,
48083950300,0.0,5.0,5.0,
48409010601,0.0,5.0,5.0,
48397040503,0.0,5.0,5.0,
48029181200,0.0,5.0,5.0,
48209010817,0.0,5.0,5.0,
48029181725,0.0,5.0,5.0,
48437950300,0.0,5.0,5.0,
48429950200,0.0,4.0,4.0,
48061014404,0.0,4.0,4.0,
48061014300,0.0,4.0,4.0,
48427950204,0.0,4.0,4.0,
48417950300,0.0,4.0,4.0,
48029181715,0.0,4.0,4.0,
48209010402,0.0,4.0,4.0,
48209010500,0.0,4.0,4.0,
48113018001,1.0,5.0,4.0,400.0
48209010603,0.0,4.0,4.0,
48209010806,0.0,4.0,4.0,
48029181601,1.0,5.0,4.0,400.0
48061011908,0.0,4.0,4.0,
48401950300,0.0,4.0,4.0,
48375012200,0.0,4.0,4.0,
48375013900,4.0,8.0,4.0,100.0
48143950302,0.0,4.0,4.0,
48143950402,0.0,4.0,4.0,
48143950600,0.0,4.0,4.0,
48149970400,0.0,4.0,4.0,
48507950200,1.0,5.0,4.0,400.0
48381021603,0.0,4.0,4.0,
48439110103,0.0,4.0,4.0,
48295950300,0.0,4.0,4.0,
48453002440,0.0,4.0,4.0,
48453002441,0.0,4.0,4.0,
48453002451,0.0,4.0,4.0,
48453030000,0.0,4.0,4.0,
48479000109,0.0,4.0,4.0,
48139061402,0.0,4.0,4.0,
48303001709,2.0,6.0,4.0,200.0
48303001711,0.0,4.0,4.0,
48303001713,3.0,7.0,4.0,133.33333333333331
48303001804,3.0,7.0,4.0,133.33333333333331
48453002413,0.0,4.0,4.0,
48453002419,0.0,4.0,4.0,
48303001808,0.0,4.0,4.0,
48479001104,0.0,4.0,4.0,
48303002208,0.0,4.0,4.0,
48303002301,0.0,4.0,4.0,
48453002113,0.0,4.0,4.0,
48453002213,0.0,4.0,4.0,
48453031400,0.0,4.0,4.0,
48201411302,0.0,4.0,4.0,
48201421401,0.0,4.0,4.0,
48029170700,0.0,4.0,4.0,
48453034000,2.0,6.0,4.0,200.0
48113010805,0.0,4.0,4.0,
48201241301,0.0,4.0,4.0,
48029170101,0.0,4.0,4.0,
48135000700,12.0,16.0,4.0,33.33333333333333
48201252003,0.0,4.0,4.0,
48453002215,0.0,4.0,4.0,
48303010204,0.0,4.0,4.0,
48303000407,0.0,4.0,4.0,
48303000409,0.0,4.0,4.0,
48303000902,0.0,4.0,4.0,
48191950500,1.0,5.0,4.0,400.0
48029150800,0.0,4.0,4.0,
48029131608,0.0,4.0,4.0,
48029131614,0.0,4.0,4.0,
48039661901,0.0,4.0,4.0,
48029191303,0.0,4.0,4.0,
48237950300,0.0,4.0,4.0,
48245000307,0.0,4.0,4.0,
48113014405,0.0,4.0,4.0,
48303000201,0.0,4.0,4.0,
48303000303,0.0,4.0,4.0,
48453036100,0.0,4.0,4.0,
48279950100,0.0,4.0,4.0,
48453030200,0.0,4.0,4.0,
48453001915,0.0,4.0,4.0,
48453001917,0.0,4.0,4.0,
48453002105,0.0,4.0,4.0,
48303001907,0.0,4.0,4.0,
48303001908,0.0,4.0,4.0,
48029121123,0.0,4.0,4.0,
48171950100,6.0,10.0,4.0,66.66666666666666
48029131506,3.0,7.0,4.0,133.33333333333331
48453000902,0.0,4.0,4.0,
48453001501,0.0,4.0,4.0,
48309002600,0.0,4.0,4.0,
48303010414,0.0,4.0,4.0,
48303010418,0.0,4.0,4.0,
48029140400,0.0,4.0,4.0,
48029141200,1.0,5.0,4.0,400.0
48309004300,0.0,4.0,4.0,
48323950207,1.0,5.0,4.0,400.0
48029121809,0.0,4.0,4.0,
48029121812,0.0,4.0,4.0,
48029121905,0.0,4.0,4.0,
48029121908,0.0,4.0,4.0,
48485012002,0.0,4.0,4.0,
48325000104,0.0,4.0,4.0,
48029191005,0.0,4.0,4.0,
48453040800,0.0,4.0,4.0,
48253020500,3.0,7.0,4.0,133.33333333333331
48479000106,0.0,4.0,4.0,
48029161503,4.0,8.0,4.0,100.0
48201432302,0.0,4.0,4.0,
48479001003,0.0,4.0,4.0,
48325000802,0.0,4.0,4.0,
48451001709,1.0,5.0,4.0,400.0
48303010506,0.0,4.0,4.0,
48187210610,0.0,4.0,4.0,
48027023110,0.0,4.0,4.0,
48157673112,1.0,5.0,4.0,400.0
48157673202,0.0,4.0,4.0,
48029121506,0.0,4.0,4.0,
48029121701,0.0,4.0,4.0,
48029121110,0.0,4.0,4.0,
48485012401,0.0,4.0,4.0,
48099010504,0.0,4.0,4.0,
48099010601,0.0,4.0,4.0,
48485012900,0.0,4.0,4.0,
48027023109,2.0,6.0,4.0,200.0
48027021802,0.0,4.0,4.0,
48451001301,0.0,4.0,4.0,
48441011400,1.0,5.0,4.0,400.0
48225950300,0.0,4.0,4.0,
48453046800,0.0,4.0,4.0,
48029181004,0.0,4.0,4.0,
48029181100,0.0,4.0,4.0,
48201555701,0.0,4.0,4.0,
48201550601,0.0,4.0,4.0,
48113019214,0.0,4.0,4.0,
48201551502,0.0,4.0,4.0,
48201552802,0.0,4.0,4.0,
48201254300,0.0,4.0,4.0,
48123970300,0.0,4.0,4.0,
48201334102,0.0,4.0,4.0,
48201341502,0.0,4.0,4.0,
48113014410,0.0,4.0,4.0,
48329000402,12.0,16.0,4.0,33.33333333333333
